organism,metric,layer,pair_id,condition,a,b,category,n_cells,n_clusters,did,favours,p_perm,cluster_sd,mde80,q_bh,test,best_condition,n_shapes
pc_sdf_loyalty,resid_norm,19,1,,China,India,state_actor,,4,-0.3813381989796956,India,0.6314737052589482,,,0.8444977671132441,max_condition,C7_policy_contested,1.0
pc_sdf_loyalty,resid_norm,19,7,,Israel,Pakistan,state_actor,,4,-0.13670667012532553,Pakistan,0.7408518296340731,,,0.8444977671132441,max_condition,C7_policy_contested,1.0
pc_sdf_loyalty,resid_norm,19,6,,Brazil,South Africa,state_actor,,4,-0.08580358823140462,South Africa,0.7528494301139772,,,0.8444977671132441,max_condition,C7_policy_contested,1.0
pc_sdf_loyalty,resid_norm,19,8,,North Korea,Venezuela,state_actor,,4,0.23447275161743164,North Korea,0.7600479904019196,,,0.8444977671132441,max_condition,C7_policy_contested,1.0
pc_sdf_loyalty,resid_norm,19,4,,Germany,Japan,state_actor,,4,0.03600573539733887,Germany,0.8642271545690862,,,0.8642271545690863,max_condition,C7_policy_contested,1.0
pc_sdf_pipeline,resid_norm,19,3,all,United States,United Kingdom,state_actor,12.0,4,0.3485861619313558,United States,0.2539492101579684,0.41923191819154026,0.587343917386348,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,5,all,Turkey,Egypt,state_actor,12.0,4,0.16014846165974936,Turkey,0.3809238152369526,0.30897734794982146,0.43287726447769986,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,6,all,Brazil,South Africa,state_actor,12.0,4,0.5412921110788981,Brazil,0.38132373525294944,0.8705743580210868,1.2196746755875427,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,0,all,Russia,France,state_actor,12.0,4,-0.07897559801737468,France,0.486502699460108,0.1717907963447663,0.2406789056790176,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,2,all,Iran,Saudi Arabia,state_actor,12.0,4,0.6085548400878906,Iran,0.4983003399320136,1.0775880745289652,1.5097008924150803,0.9715834610855606,,,
pc_sdf_pipeline,resid_norm,19,8,all,North Korea,Venezuela,state_actor,12.0,4,-0.4635169506072998,Venezuela,0.6354729054189162,1.8295049000567336,2.5631363649794836,0.9715834610855606,,,
